,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0217,0.0462493243194
1,50 splits,0.7117,100.0,300.0,0.0,5.0,-0.0437,0.00902884267224
0,loo,0.7081,100.0,300.0,0.0,5.0,0.0319,0.0438634243989
1,50 splits,0.7081,100.0,300.0,0.0,5.0,0.0189,0.0137266164804
0,loo,0.7001,100.0,300.0,0.0,5.0,0.0199,0.0448998886413
1,50 splits,0.7001,100.0,300.0,0.0,5.0,0.0079,0.0160847754103
0,loo,0.7451,100.0,300.0,0.0,5.0,0.0349,0.0414246303544
1,50 splits,0.7451,100.0,300.0,0.0,5.0,-0.0131,0.00913892772704
0,loo,0.7544,100.0,300.0,0.0,5.0,-0.0144,0.0438634243989
1,50 splits,0.7544,100.0,300.0,0.0,5.0,-0.0224,0.00784346862045
0,loo,0.7016,100.0,300.0,0.0,5.0,-0.0216,0.0466476151588
1,50 splits,0.7016,100.0,300.0,0.0,5.0,-0.0486,0.0112614386292
0,loo,0.7046,100.0,300.0,0.0,5.0,-0.0046,0.0458257569496
1,50 splits,0.7046,100.0,300.0,0.0,5.0,-0.0286,0.0137288018414
0,loo,0.6898,100.0,300.0,0.0,5.0,-0.0898,0.0489897948557
1,50 splits,0.6898,100.0,300.0,0.0,5.0,-0.0708,0.0114795470294
0,loo,0.6682,100.0,300.0,0.0,5.0,-0.0782,0.0491833305094
1,50 splits,0.6682,100.0,300.0,0.0,5.0,-0.0152,0.0121991803003
0,loo,0.7051,100.0,300.0,0.0,5.0,0.0849,0.0407308237088
1,50 splits,0.7051,100.0,300.0,0.0,5.0,0.0059,0.0138050715319
0,loo,0.7038,100.0,300.0,0.0,5.0,0.0962,0.04
1,50 splits,0.7038,100.0,300.0,0.0,5.0,0.0502,0.0125570697219
0,loo,0.7041,100.0,300.0,0.0,5.0,-0.0441,0.0473708771293
1,50 splits,0.7041,100.0,300.0,0.0,5.0,-0.0621,0.0142379773844
0,loo,0.7117,100.0,300.0,0.0,5.0,0.1383,0.0357071421427
1,50 splits,0.7117,100.0,300.0,0.0,5.0,0.1203,0.00758419409034
0,loo,0.7046,100.0,300.0,0.0,5.0,-0.0946,0.048774993593
1,50 splits,0.7046,100.0,300.0,0.0,5.0,-0.0716,0.0123782066552
0,loo,0.7039,100.0,300.0,0.0,5.0,0.0161,0.0448998886413
1,50 splits,0.7039,100.0,300.0,0.0,5.0,0.0371,0.0139061137634
0,loo,0.6958,100.0,300.0,0.0,5.0,0.0042,0.0458257569496
1,50 splits,0.6958,100.0,300.0,0.0,5.0,-0.0268,0.0128755582403
0,loo,0.7057,100.0,300.0,0.0,5.0,-0.0257,0.0466476151588
1,50 splits,0.7057,100.0,300.0,0.0,5.0,-0.0287,0.0129003875911
0,loo,0.7088,100.0,300.0,0.0,5.0,-0.0788,0.0482804308183
1,50 splits,0.7088,100.0,300.0,0.0,5.0,-0.0708,0.0102528044944
0,loo,0.7115,100.0,300.0,0.0,5.0,0.0485,0.0427083130081
1,50 splits,0.7115,100.0,300.0,0.0,5.0,-0.0035,0.0122768074026
0,loo,0.7012,100.0,300.0,0.0,5.0,-0.0612,0.048
1,50 splits,0.7012,100.0,300.0,0.0,5.0,-0.0432,0.0116068945028
0,loo,0.7189,100.0,300.0,0.0,5.0,0.0011,0.0448998886413
1,50 splits,0.7189,100.0,300.0,0.0,5.0,-0.0579,0.016327277789
0,loo,0.6828,100.0,300.0,0.0,5.0,-0.0628,0.048538644398
1,50 splits,0.6828,100.0,300.0,0.0,5.0,-0.0358,0.0125227792442
0,loo,0.7192,100.0,300.0,0.0,5.0,0.0508,0.042083250825
1,50 splits,0.7192,100.0,300.0,0.0,5.0,0.0098,0.010206860438
0,loo,0.7247,100.0,300.0,0.0,5.0,0.0053,0.0443959457608
1,50 splits,0.7247,100.0,300.0,0.0,5.0,-0.0537,0.0127349911661
0,loo,0.7152,100.0,300.0,0.0,5.0,0.0748,0.0407308237088
1,50 splits,0.7152,100.0,300.0,0.0,5.0,0.0308,0.0123967737738
0,loo,0.7291,100.0,300.0,0.0,5.0,-0.0091,0.0448998886413
1,50 splits,0.7291,100.0,300.0,0.0,5.0,-0.0521,0.0122645831564
0,loo,0.6987,100.0,300.0,0.0,5.0,-0.1087,0.0491833305094
1,50 splits,0.6987,100.0,300.0,0.0,5.0,-0.0727,0.00982242332625
0,loo,0.729,100.0,300.0,0.0,5.0,0.041,0.042083250825
1,50 splits,0.729,100.0,300.0,0.0,5.0,0.015,0.0113701363228
0,loo,0.716,100.0,300.0,0.0,5.0,-0.136,0.049355850717
1,50 splits,0.716,100.0,300.0,0.0,5.0,-0.102,0.0117507446573
0,loo,0.7206,100.0,300.0,0.0,5.0,-0.0306,0.0462493243194
1,50 splits,0.7206,100.0,300.0,0.0,5.0,-0.0356,0.0151162164578
0,loo,0.6737,100.0,300.0,0.0,5.0,0.0363,0.0453762052182
1,50 splits,0.6737,100.0,300.0,0.0,5.0,-0.0017,0.0184477640922
0,loo,0.6796,100.0,300.0,0.0,5.0,-0.0196,0.0473708771293
1,50 splits,0.6796,100.0,300.0,0.0,5.0,-0.0286,0.012287391912
0,loo,0.7074,100.0,300.0,0.0,5.0,-0.1174,0.0491833305094
1,50 splits,0.7074,100.0,300.0,0.0,5.0,-0.0784,0.00837735041645
0,loo,0.7311,100.0,300.0,0.0,5.0,0.0689,0.04
1,50 splits,0.7311,100.0,300.0,0.0,5.0,0.0259,0.0148330711587
0,loo,0.6846,100.0,300.0,0.0,5.0,-0.1046,0.049355850717
1,50 splits,0.6846,100.0,300.0,0.0,5.0,-0.0726,0.014391664254
0,loo,0.6771,100.0,300.0,0.0,5.0,0.0829,0.0427083130081
1,50 splits,0.6771,100.0,300.0,0.0,5.0,0.0719,0.0109077953776
0,loo,0.715,100.0,300.0,0.0,5.0,-0.035,0.0466476151588
1,50 splits,0.715,100.0,300.0,0.0,5.0,0.003,0.0110236110236
0,loo,0.6869,100.0,300.0,0.0,5.0,0.1031,0.0407308237088
1,50 splits,0.6869,100.0,300.0,0.0,5.0,0.1281,0.00961769203084
0,loo,0.6638,100.0,300.0,0.0,5.0,0.0662,0.0443959457608
1,50 splits,0.6638,100.0,300.0,0.0,5.0,0.0472,0.0124330205501
0,loo,0.716,100.0,300.0,0.0,5.0,0.094,0.0392300904919
1,50 splits,0.716,100.0,300.0,0.0,5.0,0.055,0.0100089959536
0,loo,0.7187,100.0,300.0,0.0,5.0,0.0513,0.042083250825
1,50 splits,0.7187,100.0,300.0,0.0,5.0,0.0233,0.0163315645301
0,loo,0.6997,100.0,300.0,0.0,5.0,-0.0297,0.047021271782
1,50 splits,0.6997,100.0,300.0,0.0,5.0,-0.0557,0.011969962406
0,loo,0.718,100.0,300.0,0.0,5.0,0.042,0.0427083130081
1,50 splits,0.718,100.0,300.0,0.0,5.0,0.024,0.0108958707775
0,loo,0.7008,100.0,300.0,0.0,5.0,-0.0208,0.0466476151588
1,50 splits,0.7008,100.0,300.0,0.0,5.0,-0.0648,0.0116653332571
0,loo,0.7068,100.0,300.0,0.0,5.0,0.0432,0.0433012701892
1,50 splits,0.7068,100.0,300.0,0.0,5.0,0.0222,0.0134231143927
0,loo,0.7146,100.0,300.0,0.0,5.0,0.0254,0.0438634243989
1,50 splits,0.7146,100.0,300.0,0.0,5.0,0.0194,0.0104345579686
0,loo,0.7159,100.0,300.0,0.0,5.0,-0.0659,0.0476969600708
1,50 splits,0.7159,100.0,300.0,0.0,5.0,-0.0619,0.0154816019843
0,loo,0.7014,100.0,300.0,0.0,5.0,0.0586,0.0427083130081
1,50 splits,0.7014,100.0,300.0,0.0,5.0,0.0366,0.013824615727
0,loo,0.6956,100.0,300.0,0.0,5.0,0.0244,0.0448998886413
1,50 splits,0.6956,100.0,300.0,0.0,5.0,0.0574,0.00910054943396
0,loo,0.702,100.0,300.0,0.0,5.0,-0.062,0.048
