,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.07525,0.0466476151588
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07725,0.0180643294921
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.07525,0.0466476151588
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07725,0.0127404866469
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0266833281283
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03625,0.017022925718
0,loo,0.75525,100.0,300.0,0.0,3.0,0.06475,0.0384187454246
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.07275,0.0128965111561
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05675,0.0123741666386
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.06925,0.0143554867559
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.01025,0.0172191753577
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.09525,0.0473708771293
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07325,0.0245666440525
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00375,0.00945409963984
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03125,0.0189335680737
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.01525,0.0438634243989
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00425,0.0106292050502
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.15525,0.0489897948557
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.15425,0.0151980261876
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01775,0.0154408548986
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.05325,0.00926930418101
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04275,0.0142800560223
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01775,0.0137266164804
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03825,0.0148060798323
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02925,0.00863017960416
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.01525,0.0438634243989
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00825,0.0178555313559
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03875,0.0168902338646
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.11525,0.048
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.12225,0.0136095554667
0,loo,0.75525,100.0,300.0,0.0,3.0,0.07475,0.037563279942
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.06175,0.0112791843677
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00575,0.0102264363294
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.07525,0.0466476151588
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07725,0.0167427596292
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.01525,0.0438634243989
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03425,0.0128910821889
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01775,0.0112436648829
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.04475,0.0120830459736
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.04525,0.0453762052182
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04725,0.0189926301496
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02625,0.010206860438
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.03525,0.0448998886413
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03425,0.0113216606556
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.03525,0.0448998886413
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03625,0.0117379725677
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03175,0.0161746715577
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.08525,0.047021271782
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07425,0.0183787921257
0,loo,0.75525,100.0,300.0,0.0,3.0,0.06475,0.0384187454246
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05975,0.00751664818919
0,loo,0.75525,100.0,300.0,0.0,3.0,0.07475,0.037563279942
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.07375,0.0153029408938
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03575,0.0163517583152
0,loo,0.75525,100.0,300.0,0.0,3.0,0.01475,0.042083250825
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02975,0.015247950682
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.12525,0.0482804308183
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.13125,0.0181240172147
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02325,0.015083766108
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03275,0.0157200508905
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02875,0.0138881244234
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.09525,0.0473708771293
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.08825,0.0155312588028
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01475,0.0167332005307
0,loo,0.75525,100.0,300.0,0.0,3.0,0.09475,0.0357071421427
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.08575,0.0139061137634
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.05775,0.0136974450172
0,loo,0.75525,100.0,300.0,0.0,3.0,0.05475,0.0392300904919
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.07475,0.0141421356237
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00825,0.0122808794473
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.09525,0.0473708771293
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.09725,0.0131422981248
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.03525,0.0448998886413
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.02425,0.0191775910896
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.05525,0.0458257569496
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.05125,0.0170199882491
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.04425,0.015316004701
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.01225,0.0144228984604
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.01525,0.0438634243989
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00775,0.0189636494378
0,loo,0.75525,100.0,300.0,0.0,3.0,0.04475,0.04
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03875,0.0202306697862
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.00775,0.0162363789066
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03825,0.0125387399686
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.00525,0.0433012701892
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.00225,0.0198196871822
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.06525,0.0462493243194
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.07925,0.0160773132084
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.03875,0.0116309930788
0,loo,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0414246303544
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.02475,0.0112249721603
0,loo,0.75525,100.0,300.0,0.0,3.0,0.06475,0.0384187454246
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.07275,0.0169799882214
0,loo,0.75525,100.0,300.0,0.0,3.0,0.00475,0.0427083130081
1,50 splits,0.75525,100.0,300.0,0.0,3.0,0.01275,0.0170739567763
0,loo,0.75525,100.0,300.0,0.0,3.0,-0.02525,0.0443959457608
1,50 splits,0.75525,100.0,300.0,0.0,3.0,-0.03425,0.0114969561189
0,loo,0.75525,100.0,300.0,0.0,3.0,0.03475,0.0407308237088
