,cv_name,validation_score,train_size,dim,noise_corr,sep,score_error,score_sem
0,loo,0.7117,100.0,300.0,0.0,5.0,-0.0217,0.0462493243194
1,100 splits,0.7117,100.0,300.0,0.0,5.0,-0.04295,0.00511660898447
0,loo,0.7081,100.0,300.0,0.0,5.0,0.0319,0.0438634243989
1,100 splits,0.7081,100.0,300.0,0.0,5.0,0.03165,0.00595081401995
0,loo,0.7001,100.0,300.0,0.0,5.0,0.0199,0.0448998886413
1,100 splits,0.7001,100.0,300.0,0.0,5.0,0.01165,0.00689182033283
0,loo,0.7451,100.0,300.0,0.0,5.0,0.0349,0.0414246303544
1,100 splits,0.7451,100.0,300.0,0.0,5.0,-0.0176,0.00548577706437
0,loo,0.7544,100.0,300.0,0.0,5.0,-0.0144,0.0438634243989
1,100 splits,0.7544,100.0,300.0,0.0,5.0,-0.02515,0.00431968604183
0,loo,0.7016,100.0,300.0,0.0,5.0,-0.0216,0.0466476151588
1,100 splits,0.7016,100.0,300.0,0.0,5.0,-0.0486,0.00534602656185
0,loo,0.7046,100.0,300.0,0.0,5.0,-0.0046,0.0458257569496
1,100 splits,0.7046,100.0,300.0,0.0,5.0,-0.0401,0.00621077692402
0,loo,0.6898,100.0,300.0,0.0,5.0,-0.0898,0.0489897948557
1,100 splits,0.6898,100.0,300.0,0.0,5.0,-0.0618,0.00577321400954
0,loo,0.6682,100.0,300.0,0.0,5.0,-0.0782,0.0491833305094
1,100 splits,0.6682,100.0,300.0,0.0,5.0,-0.01995,0.00676736193062
0,loo,0.7051,100.0,300.0,0.0,5.0,0.0849,0.0407308237088
1,100 splits,0.7051,100.0,300.0,0.0,5.0,0.0044,0.00695871755426
0,loo,0.7038,100.0,300.0,0.0,5.0,0.0962,0.04
1,100 splits,0.7038,100.0,300.0,0.0,5.0,0.0457,0.00668010104714
0,loo,0.7041,100.0,300.0,0.0,5.0,-0.0441,0.0473708771293
1,100 splits,0.7041,100.0,300.0,0.0,5.0,-0.06035,0.00795249567746
0,loo,0.7117,100.0,300.0,0.0,5.0,0.1383,0.0357071421427
1,100 splits,0.7117,100.0,300.0,0.0,5.0,0.1203,0.0047175205352
0,loo,0.7046,100.0,300.0,0.0,5.0,-0.0946,0.048774993593
1,100 splits,0.7046,100.0,300.0,0.0,5.0,-0.08135,0.00565550064097
0,loo,0.7039,100.0,300.0,0.0,5.0,0.0161,0.0448998886413
1,100 splits,0.7039,100.0,300.0,0.0,5.0,0.0241,0.00675129617185
0,loo,0.6958,100.0,300.0,0.0,5.0,0.0042,0.0458257569496
1,100 splits,0.6958,100.0,300.0,0.0,5.0,-0.0393,0.00707380731997
0,loo,0.7057,100.0,300.0,0.0,5.0,-0.0257,0.0466476151588
1,100 splits,0.7057,100.0,300.0,0.0,5.0,-0.01945,0.00677253183824
0,loo,0.7088,100.0,300.0,0.0,5.0,-0.0788,0.0482804308183
1,100 splits,0.7088,100.0,300.0,0.0,5.0,-0.0723,0.00550806227271
0,loo,0.7115,100.0,300.0,0.0,5.0,0.0485,0.0427083130081
1,100 splits,0.7115,100.0,300.0,0.0,5.0,-0.004,0.00657409689615
0,loo,0.7012,100.0,300.0,0.0,5.0,-0.0612,0.048
1,100 splits,0.7012,100.0,300.0,0.0,5.0,-0.04645,0.00582663603634
0,loo,0.7189,100.0,300.0,0.0,5.0,0.0011,0.0448998886413
1,100 splits,0.7189,100.0,300.0,0.0,5.0,-0.05315,0.00880750745103
0,loo,0.6828,100.0,300.0,0.0,5.0,-0.0628,0.048538644398
1,100 splits,0.6828,100.0,300.0,0.0,5.0,-0.0363,0.0068420574391
0,loo,0.7192,100.0,300.0,0.0,5.0,0.0508,0.042083250825
1,100 splits,0.7192,100.0,300.0,0.0,5.0,0.0118,0.006428063472
0,loo,0.7247,100.0,300.0,0.0,5.0,0.0053,0.0443959457608
1,100 splits,0.7247,100.0,300.0,0.0,5.0,-0.03945,0.00550905504601
0,loo,0.7152,100.0,300.0,0.0,5.0,0.0748,0.0407308237088
1,100 splits,0.7152,100.0,300.0,0.0,5.0,0.04855,0.00667960983142
0,loo,0.7291,100.0,300.0,0.0,5.0,-0.0091,0.0448998886413
1,100 splits,0.7291,100.0,300.0,0.0,5.0,-0.0441,0.00577711000415
0,loo,0.6987,100.0,300.0,0.0,5.0,-0.1087,0.0491833305094
1,100 splits,0.6987,100.0,300.0,0.0,5.0,-0.07695,0.00527467416055
0,loo,0.729,100.0,300.0,0.0,5.0,0.041,0.042083250825
1,100 splits,0.729,100.0,300.0,0.0,5.0,0.006,0.0048733971724
0,loo,0.716,100.0,300.0,0.0,5.0,-0.136,0.049355850717
1,100 splits,0.716,100.0,300.0,0.0,5.0,-0.106,0.00622494979899
0,loo,0.7206,100.0,300.0,0.0,5.0,-0.0306,0.0462493243194
1,100 splits,0.7206,100.0,300.0,0.0,5.0,-0.04385,0.00721004074191
0,loo,0.6737,100.0,300.0,0.0,5.0,0.0363,0.0453762052182
1,100 splits,0.6737,100.0,300.0,0.0,5.0,-0.01545,0.00910890704201
0,loo,0.6796,100.0,300.0,0.0,5.0,-0.0196,0.0473708771293
1,100 splits,0.6796,100.0,300.0,0.0,5.0,-0.03785,0.00579630809223
0,loo,0.7074,100.0,300.0,0.0,5.0,-0.1174,0.0491833305094
